20대 미만,20대,30대,40대,50대,60대,70대 이상,남성,여성
패스트푸드,패스트푸드,서양식,중식,한식,주점업,카페,주점업,제과점
분식,서양식,아시안(기타 외국식),일식,주점업,한식,간식,중식,간식
간식,아시안(기타 외국식),제과점,한식,중식,간식,한식,한식,카페
제과점,카페,카페,치킨전문점,간식,카페,주점업,일식,패스트푸드
치킨전문점,분식,치킨전문점,제과점,일식,중식,제과점,치킨전문점,분식
카페,제과점,패스트푸드,주점업,분식,분식,분식,아시안(기타 외국식),서양식
서양식,치킨전문점,일식,간식,치킨전문점,일식,중식,서양식,아시안(기타 외국식)
일식,간식,분식,분식,제과점,제과점,치킨전문점,분식,치킨전문점
아시안(기타 외국식),일식,중식,서양식,아시안(기타 외국식),치킨전문점,서양식,패스트푸드,일식
중식,중식,간식,아시안(기타 외국식),카페,서양식,아시안(기타 외국식),카페,한식
한식,주점업,주점업,카페,서양식,아시안(기타 외국식),일식,간식,중식
주점업,한식,한식,패스트푸드,패스트푸드,패스트푸드,패스트푸드,제과점,주점업
